9.009.00	0.00
28.56	29.00	0.00
28.57	29.00	0.00

28.56	29.00	0.00
28.56	29.00	0.00
28.56	29.00	0.00
28.57	29.00	0.00
28.56	29.00	0.00
28.56	29.00	0.00
28.57	29.00	0.00
25.49	29.00	255.00
25.90	29.00	255.00
26.18	29.00	255.00
26.52	29.00	255.00
26.73	29.00	255.00
27.01	29.00	255.00
27.24	29.00	255.00
27.49	29.00	255.00
27.68	29.00	255.00
27.87	29.00	255.00
28.02	29.00	255.00
28.14	29.00	255.00
28.26	29.00	255.00
28.37	29.00	255.00
28.38	29.00	0.00
28.41	29.00	166.93
28.47	29.00	255.00
28.52	29.00	255.00
28.64	29.00	255.00
28.72	29.00	255.00
28.77	29.00	255.00
28.82	29.00	255.00
28.86	29.00	255.00
28.81	29.00	0.00
28.83	29.00	162.32
28.81	29.00	0.00
28.81	29.00	0.00
28.76	29.00	0.00
28.73	29.00	0.00
28.69	29.00	0.00
28.64	29.00	0.00
28.59	29.00	0.00
28.54	29.00	0.00
28.51	29.00	0.00
28.48	29.00	0.00
28.45	29.00	0.00
28.42	29.00	0.00
28.39	29.00	0.00
28.36	29.00	0.00
28.35	29.00	0.00
28.33	29.00	0.00
28.31	29.00	0.00
28.28	29.00	0.00
28.26	29.00	0.00
28.24	29.00	0.00
28.22	29.00	0.00
28.21	29.00	0.00
28.20	29.00	0.00
28.19	29.00	0.00
28.19	29.00	0.00
28.17	29.00	0.00
28.17	29.00	0.00
28.16	29.00	0.00
28.15	29.00	0.00
28.15	29.00	0.00
28.14	29.00	0.00
28.13	29.00	0.00
28.13	29.00	0.00
28.12	29.00	0.00
28.12	29.00	0.00
28.12	29.00	0.00
28.12	29.00	0.00
28.13	29.00	0.00
28.13	29.00	0.00
28.12	29.00	0.00
28.13	29.00	0.00
28.13	29.00	0.00
28.13	29.00	0.00
28.12	29.00	0.00
28.12	29.00	0.00
28.12	29.00	0.00
28.13	29.00	0.00
28.13	29.00	0.00
28.12	29.00	0.00
28.13	29.00	0.00
28.13	29.00	0.00
28.13	29.00	0.00
28.12	29.00	0.00
28.12	29.00	0.00
28.13	29.00	0.00
28.13	29.00	0.00
28.12	29.00	0.00
28.14	29.00	0.00
28.14	29.00	0.00
28.16	29.00	0.00
28.17	29.00	0.00
28.18	29.00	0.00
28.19	29.00	0.00
28.19	29.00	0.00
28.21	29.00	0.00
28.23	29.00	0.00
28.24	29.00	0.00
28.25	29.00	0.00
28.25	29.00	0.00
28.26	29.00	0.00
28.28	29.00	0.00
28.28	29.00	0.00
28.29	29.00	0.00
28.28	29.00	0.00
28.29	29.00	0.00
28.30	29.00	0.00
28.30	29.00	0.00
28.32	29.00	0.00
28.33	29.00	0.00
28.34	29.00	0.00
28.35	29.00	0.00
28.36	29.00	0.00
28.37	29.00	0.00
28.38	29.00	0.00
28.39	29.00	0.00
28.40	29.00	0.00
28.42	29.00	0.00
28.42	29.00	0.00
28.44	29.00	50.00
28.42	29.00	0.00
28.43	29.00	0.00
28.45	29.00	50.00
28.51	29.00	255.00
28.53	29.00	125.29
28.55	29.00	101.97
28.62	29.00	255.00
28.64	29.00	93.12
28.65	29.00	0.00
28.72	29.00	255.00
28.73	29.00	0.00
28.72	29.00	0.00
28.73	29.00	0.00
28.73	29.00	0.00
28.73	29.00	0.00
28.73	29.00	0.00
28.73	29.00	0.00
28.73	29.00	0.00
28.73	29.00	0.00
28.73	29.00	0.00
28.74	29.00	0.00
28.74	29.00	0.00
28.75	29.00	0.00
28.74	29.00	0.00
28.75	29.00	0.00
28.75	29.00	0.00
28.76	29.00	0.00
28.76	29.00	0.00
28.77	29.00	50.00
28.82	29.00	255.00
28.85	29.00	255.00
29.00	29.00	255.00
29.00	29.00	63.12
29.00	29.00	0.00
29.00	29.00	60.68
29.02	29.00	255.00
29.04	29.00	212.34
29.06	29.00	255.00
29.14	29.00	255.00
29.22	29.00	255.00
29.29	29.00	255.00
29.25	29.00	0.00
29.21	29.00	0.00
29.27	29.00	255.00
29.27	29.00	141.20
29.29	29.00	255.00
29.32	29.00	255.00
29.36	29.00	255.00
29.32	29.00	0.00
29.35	29.00	255.00
29.35	29.00	238.51
29.38	29.00	255.00
29.32	29.00	0.00
29.35	29.00	255.00
29.39	29.00	255.00
29.44	29.00	255.00
29.47	29.00	255.00
29.49	29.00	255.00
29.42	29.00	0.00
29.37	29.00	0.00
29.38	29.00	211.31
29.37	29.00	116.65
29.37	29.00	119.08
29.33	29.00	0.00
29.32	29.00	0.00
29.26	29.00	0.00
29.19	29.00	0.00
29.14	29.00	0.00
29.10	29.00	0.00
29.06	29.00	0.00
29.02	29.00	0.00
28.98	29.00	0.00
28.94	29.00	0.00
28.91	29.00	0.00
28.87	29.00	0.00
28.84	29.00	0.00
28.81	29.00	0.00
28.79	29.00	0.00
28.76	29.00	0.00
28.75	29.00	0.00
28.72	29.00	0.00
28.70	29.00	0.00
28.69	29.00	0.00
28.67	29.00	0.00
28.66	29.00	0.00
28.65	29.00	0.00
28.64	29.00	0.00
28.63	29.00	0.00
28.61	29.00	0.00
28.60	29.00	0.00
28.58	29.00	0.00
28.58	29.00	0.00
28.57	29.00	0.00
28.57	29.00	0.00
28.56	29.00	0.00
28.56	29.00	0.00
28.55	29.00	0.00
28.54	29.00	0.00
28.54	29.00	0.00
28.54	29.00	0.00
28.54	29.00	0.00
28.54	29.00	0.00
28.54	29.00	0.00
28.54	29.00	0.00
28.54	29.00	0.00
28.55	29.00	0.00
28.55	29.00	0.00
28.55	29.00	0.00
28.55	29.00	0.00
28.55	29.00	0.00
28.56	29.00	0.00
28.56	29.00	0.00
28.56	29.00	0.00
28.55	29.00	0.00
28.55	29.00	0.00
28.55	29.00	0.00
28.55	29.00	0.00
28.56	29.00	0.00
28.56	29.00	0.00
28.57	29.00	0.00
28.58	29.00	0.00
28.58	29.00	0.00
28.59	29.00	50.00
28.62	29.00	212.19
28.62	29.00	0.00
28.65	29.00	255.00
28.67	29.00	60.43
28.69	29.00	224.96
28.69	29.00	0.00
28.71	29.00	201.65
28.71	29.00	0.00
28.68	29.00	0.00
28.69	29.00	50.00
28.70	29.00	50.00
28.72	29.00	190.96
28.73	29.00	0.00
28.72	29.00	0.00
28.72	29.00	0.00
28.72	29.00	0.00
28.73	29.00	0.00
28.73	29.00	0.00
28.73	29.00	0.00
28.74	29.00	0.00
28.74	29.00	0.00
