27.00	0.00
27.28	29.00	0.00

27.24	29.00	0.00
27.26	29.00	0.00
27.26	29.00	0.00
27.26	29.00	0.00
27.27	29.00	0.00
27.27	29.00	0.00
27.28	29.00	0.00

27.24	29.00	0.00
27.26	29.00	0.00
27.26	29.00	0.00
27.26	29.00	0.00
27.27	29.00	0.00
27.27	29.00	0.00
27.28	29.00	0.00
25.32	29.00	255.00
25.63	29.00	255.00
25.89	29.00	255.00
26.13	29.00	255.00
26.34	29.00	255.00
26.53	29.00	255.00
26.72	29.00	255.00
26.86	29.00	255.00
26.98	29.00	255.00
27.10	29.00	255.00
27.19	29.00	255.00
27.30	29.00	255.00
27.37	29.00	255.00
27.44	29.00	255.00
27.54	29.00	255.00
27.61	29.00	255.00
27.66	29.00	255.00
27.69	29.00	255.00
27.69	29.00	0.00
27.71	29.00	255.00
27.67	29.00	0.00
27.69	29.00	255.00
27.73	29.00	255.00
27.76	29.00	255.00
27.78	29.00	255.00
27.79	29.00	0.00
27.78	29.00	0.00
27.80	29.00	255.00
27.78	29.00	0.00
27.79	29.00	0.00
27.76	29.00	0.00
27.71	29.00	0.00
27.66	29.00	0.00
27.63	29.00	0.00
27.57	29.00	0.00
27.52	29.00	0.00
27.48	29.00	0.00
27.44	29.00	0.00
27.40	29.00	0.00
27.37	29.00	0.00
27.34	29.00	0.00
27.32	29.00	0.00
27.29	29.00	0.00
27.28	29.00	0.00
27.26	29.00	0.00
27.23	29.00	0.00
27.22	29.00	0.00
27.20	29.00	0.00
27.18	29.00	0.00
27.16	29.00	0.00
27.14	29.00	0.00
27.13	29.00	0.00
27.11	29.00	0.00
27.09	29.00	0.00
27.09	29.00	0.00
27.08	29.00	0.00
27.07	29.00	0.00
27.06	29.00	0.00
27.05	29.00	0.00
27.04	29.00	0.00
27.03	29.00	0.00
27.01	29.00	0.00
27.00	29.00	0.00
26.98	29.00	0.00
26.97	29.00	0.00
26.97	29.00	0.00
26.97	29.00	0.00
26.96	29.00	0.00
26.95	29.00	0.00
26.94	29.00	0.00
26.94	29.00	0.00
26.95	29.00	0.00
26.94	29.00	0.00
26.94	29.00	0.00
26.93	29.00	0.00
26.93	29.00	0.00
26.92	29.00	0.00
26.91	29.00	0.00
26.91	29.00	0.00
26.92	29.00	0.00
26.90	29.00	0.00
26.91	29.00	0.00
26.91	29.00	0.00
26.92	29.00	0.00
26.92	29.00	0.00
26.92	29.00	0.00
26.92	29.00	0.00
26.92	29.00	0.00
26.93	29.00	0.00
26.92	29.00	0.00
26.93	29.00	0.00
26.93	29.00	0.00
26.94	29.00	0.00
26.94	29.00	0.00
26.94	29.00	0.00
26.95	29.00	0.00
26.95	29.00	0.00
26.95	29.00	0.00
26.95	29.00	0.00
26.96	29.00	0.00
26.96	29.00	0.00
26.97	29.00	0.00
26.97	29.00	0.00
26.98	29.00	0.00
26.98	29.00	0.00
26.98	29.00	0.00
26.99	29.00	0.00
26.99	29.00	0.00
27.00	29.00	0.00
27.01	29.00	0.00
27.01	29.00	0.00
27.02	29.00	0.00
27.02	29.00	0.00
27.04	29.00	0.00
27.05	29.00	0.00
27.05	29.00	0.00
27.06	29.00	0.00
27.07	29.00	0.00
27.08	29.00	0.00
27.08	29.00	0.00
27.09	29.00	0.00
27.10	29.00	0.00
27.11	29.00	0.00
27.11	29.00	0.00
27.12	29.00	0.00
27.13	29.00	0.00
27.13	29.00	0.00
27.14	29.00	0.00
27.15	29.00	0.00
27.15	29.00	0.00
27.17	29.00	255.00
27.19	29.00	255.00
27.21	29.00	255.00
27.27	29.00	255.00
27.36	29.00	255.00
27.39	29.00	255.00
27.46	29.00	255.00
27.55	29.00	255.00
27.55	29.00	0.00
27.62	29.00	255.00
27.70	29.00	255.00
27.77	29.00	255.00
27.84	29.00	255.00
27.87	29.00	255.00
27.91	29.00	255.00
27.95	29.00	255.00
27.98	29.00	255.00
28.01	29.00	255.00
28.02	29.00	255.00
28.04	29.00	255.00
28.06	29.00	255.00
28.06	29.00	0.00
28.06	29.00	0.00
28.03	29.00	0.00
28.00	29.00	0.00
27.98	29.00	0.00
27.92	29.00	0.00
27.86	29.00	0.00
27.80	29.00	0.00
27.75	29.00	0.00
27.70	29.00	0.00
27.65	29.00	0.00
27.61	29.00	0.00
27.58	29.00	0.00
27.55	29.00	0.00
27.52	29.00	0.00
27.49	29.00	0.00
27.46	29.00	0.00
27.44	29.00	0.00
27.41	29.00	0.00
27.38	29.00	0.00
27.36	29.00	0.00
27.35	29.00	0.00
27.34	29.00	0.00
27.32	29.00	0.00
27.31	29.00	0.00
27.31	29.00	0.00
27.30	29.00	0.00
27.29	29.00	0.00
27.28	29.00	0.00
27.26	29.00	0.00
27.26	29.00	0.00
27.25	29.00	0.00
27.24	29.00	0.00
27.25	29.00	0.00
27.24	29.00	0.00
27.24	29.00	0.00
27.23	29.00	0.00
27.23	29.00	0.00
27.21	29.00	0.00
27.20	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.18	29.00	0.00
27.18	29.00	0.00
27.17	29.00	0.00
27.17	29.00	0.00
27.17	29.00	0.00
27.17	29.00	0.00
27.17	29.00	0.00
27.16	29.00	0.00
27.16	29.00	0.00
27.15	29.00	0.00
27.16	29.00	0.00
27.17	29.00	0.00
27.17	29.00	0.00
27.17	29.00	0.00
27.18	29.00	0.00
27.18	29.00	0.00
27.18	29.00	0.00
27.18	29.00	0.00
27.19	29.00	0.00
27.17	29.00	0.00
27.18	29.00	0.00
27.18	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.20	29.00	0.00
27.21	29.00	0.00
27.22	29.00	0.00
27.21	29.00	0.00
27.21	29.00	0.00
27.22	29.00	0.00
27.23	29.00	0.00
27.23	29.00	0.00
27.24	29.00	0.00
27.25	29.00	0.00
27.26	29.00	0.00
27.27	29.00	0.00
27.28	29.00	0.00
27.29	29.00	0.00
27.30	29.00	0.00
27.31	29.00	0.00
27.31	29.00	0.00
27.32	29.00	0.00
27.33	29.00	0.00
27.34	29.00	0.00
27.35	29.00	0.00
27.36	29.00	0.00
27.36	29.00	0.00
27.36	29.00	0.00
27.36	29.00	0.00
27.37	29.00	0.00
27.37	29.00	0.00
27.38	29.00	50.00
27.48	29.00	255.00
27.49	29.00	0.00
27.53	29.00	255.00
27.49	29.00	0.00
27.54	29.00	255.00
27.55	29.00	0.00
27.58	29.00	255.00
27.59	29.00	0.00
27.59	29.00	0.00
27.60	29.00	255.00
27.60	29.00	0.00
27.62	29.00	255.00
27.65	29.00	255.00
27.70	29.00	255.00
27.71	29.00	255.00
27.76	29.00	255.00
27.83	29.00	255.00
27.89	29.00	255.00
27.95	29.00	255.00
27.94	29.00	0.00
27.99	29.00	255.00
28.03	29.00	255.00
28.07	29.00	255.00
28.10	29.00	255.00
28.13	29.00	255.00
28.16	29.00	255.00
28.19	29.00	255.00
28.21	29.00	255.00
28.22	29.00	255.00
28.25	29.00	255.00
28.29	29.00	255.00
28.22	29.00	0.00
28.15	29.00	0.00
28.13	29.00	0.00
28.10	29.00	0.00
28.05	29.00	0.00
28.00	29.00	0.00
27.96	29.00	0.00
27.91	29.00	0.00
27.88	29.00	0.00
27.83	29.00	0.00
27.79	29.00	0.00
27.76	29.00	0.00
27.73	29.00	0.00
27.71	29.00	0.00
27.68	29.00	0.00
27.66	29.00	0.00
27.63	29.00	0.00
27.60	29.00	0.00
27.58	29.00	0.00
27.56	29.00	0.00
27.54	29.00	0.00
27.52	29.00	0.00
27.51	29.00	0.00
27.50	29.00	0.00
27.49	29.00	0.00
27.47	29.00	0.00
27.45	29.00	0.00
27.45	29.00	0.00
27.43	29.00	0.00
27.42	29.00	0.00
27.41	29.00	0.00
27.40	29.00	0.00
27.39	29.00	0.00
27.38	29.00	0.00
27.37	29.00	0.00
27.36	29.00	0.00
27.35	29.00	0.00
27.34	29.00	0.00
27.35	29.00	0.00
27.34	29.00	0.00
27.34	29.00	0.00
27.34	29.00	0.00
27.33	29.00	0.00
27.33	29.00	0.00
27.33	29.00	0.00
27.32	29.00	0.00
27.32	29.00	0.00
27.32	29.00	0.00
27.31	29.00	0.00
27.32	29.00	0.00
27.33	29.00	0.00
27.32	29.00	0.00
27.33	29.00	0.00
27.31	29.00	0.00
27.31	29.00	0.00
27.31	29.00	0.00
27.30	29.00	0.00
27.30	29.00	0.00
27.30	29.00	0.00
27.30	29.00	0.00
27.30	29.00	0.00
27.31	29.00	0.00
27.32	29.00	0.00
27.32	29.00	0.00
27.32	29.00	0.00
27.32	29.00	0.00
27.32	29.00	0.00
27.32	29.00	0.00
27.32	29.00	0.00
27.33	29.00	0.00
27.33	29.00	0.00
27.33	29.00	0.00
27.33	29.00	0.00
27.33	29.00	0.00
27.33	29.00	0.00
27.34	29.00	0.00
27.33	29.00	0.00
27.35	29.00	0.00
27.35	29.00	0.00
27.35	29.00	0.00
27.35	29.00	0.00
27.34	29.00	0.00
27.36	29.00	255.00
27.37	29.00	255.00
27.39	29.00	255.00
27.39	29.00	0.00
27.42	29.00	255.00
27.48	29.00	255.00
27.50	29.00	255.00
27.57	29.00	255.00
27.63	29.00	255.00
27.70	29.00	255.00
27.77	29.00	255.00
27.83	29.00	255.00
27.89	29.00	255.00
27.94	29.00	255.00
27.98	29.00	255.00
27.94	29.00	0.00
27.97	29.00	255.00
27.99	29.00	255.00
28.03	29.00	255.00
28.05	29.00	255.00
28.09	29.00	255.00
28.12	29.00	255.00
28.12	29.00	0.00
28.13	29.00	0.00
28.10	29.00	0.00
28.09	29.00	0.00
28.02	29.00	0.00
27.96	29.00	0.00
27.91	29.00	0.00
27.85	29.00	0.00
27.80	29.00	0.00
27.75	29.00	0.00
27.70	29.00	0.00
27.66	29.00	0.00
27.63	29.00	0.00
27.60	29.00	0.00
27.56	29.00	0.00
27.53	29.00	0.00
27.51	29.00	0.00
27.49	29.00	0.00
27.46	29.00	0.00
27.44	29.00	0.00
27.43	29.00	0.00
27.41	29.00	0.00
27.40	29.00	0.00
27.38	29.00	0.00
27.36	29.00	0.00
27.35	29.00	0.00
27.34	29.00	0.00
27.34	29.00	0.00
27.32	29.00	0.00
27.31	29.00	0.00
27.30	29.00	0.00
27.28	29.00	0.00
27.27	29.00	0.00
27.26	29.00	0.00
27.25	29.00	0.00
27.24	29.00	0.00
27.23	29.00	0.00
27.23	29.00	0.00
27.23	29.00	0.00
27.23	29.00	0.00
27.24	29.00	0.00
27.23	29.00	0.00
27.22	29.00	0.00
27.22	29.00	0.00
27.22	29.00	0.00
27.21	29.00	0.00
27.21	29.00	0.00
27.20	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.20	29.00	0.00
27.20	29.00	0.00
27.21	29.00	0.00
27.21	29.00	0.00
27.20	29.00	0.00
27.19	29.00	0.00
27.19	29.00	0.00
27.20	29.00	0.00
27.19	29.00	0.00
27.20	29.00	0.00
27.20	29.00	0.00
27.20	29.00	0.00
27.20	29.00	0.00
27.20	29.00	0.00
27.20	29.00	0.00
27.21	29.00	0.00
27.22	29.00	0.00
27.22	29.00	0.00
27.23	29.00	0.00
27.22	29.00	0.00
27.23	29.00	0.00
27.23	29.00	0.00
27.23	29.00	0.00
27.24	29.00	0.00
27.23	29.00	0.00
27.24	29.00	0.00
27.25	29.00	0.00
27.24	29.00	0.00
27.25	29.00	0.00
27.25	29.00	0.00
27.26	29.00	0.00
27.26	29.00	0.00
27.27	29.00	0.00
27.28	29.00	0.00
27.28	29.00	0.00
27.29	29.00	0.00
27.30	29.00	0.00
27.30	29.00	0.00
27.31	29.00	0.00
27.32	29.00	0.00
27.32	29.00	0.00
27.33	29.00	0.00
27.33	29.00	0.00
27.34	29.00	0.00
27.36	29.00	255.00
27.38	29.00	255.00
27.40	29.00	255.00
27.43	29.00	255.00
27.51	29.00	255.00
27.59	29.00	255.00
27.67	29.00	255.00
27.75	29.00	255.00
27.82	29.00	255.00
27.89	29.00	255.00
27.95	29.00	255.00
28.00	29.00	255.00
28.04	29.00	255.00
28.00	29.00	0.00
28.04	29.00	255.00
28.06	29.00	255.00
28.10	29.00	255.00
28.14	29.00	255.00
28.17	29.00	255.00
28.18	29.00	255.00
28.12	29.00	0.00
28.13	29.00	255.00
28.14	29.00	255.00
28.12	29.00	0.00
28.10	29.00	0.00
28.10	29.00	0.00
28.04	29.00	0.00
28.03	29.00	0.00
27.96	29.00	0.00
27.92	29.00	0.00
27.86	29.00	0.00
27.82	29.00	0.00
27.78	29.00	0.00
27.74	29.00	0.00
